iter	Passed	Remaining
0	31	3164
1	60	2988
2	88	2848
3	114	2747
4	141	2681
5	169	2651
6	196	2605
7	227	2616
8	254	2571
9	280	2528
10	309	2506
11	338	2478
12	365	2447
13	392	2413
14	422	2395
15	449	2359
16	476	2326
17	503	2293
18	529	2259
19	557	2230
20	585	2202
21	612	2173
22	639	2142
23	666	2111
24	694	2083
25	725	2064
26	752	2035
27	780	2007
28	808	1979
29	838	1955
30	865	1926
31	893	1897
32	920	1868
33	947	1839
34	975	1812
35	1003	1784
36	1031	1755
37	1057	1725
38	1085	1697
39	1112	1668
40	1141	1641
41	1167	1612
42	1195	1585
43	1231	1567
44	1258	1537
45	1289	1513
46	1353	1526
47	1385	1501
48	1417	1475
49	1448	1448
50	1480	1422
51	1507	1391
52	1533	1359
53	1560	1329
54	1587	1298
55	1614	1268
56	1644	1240
57	1671	1210
58	1701	1182
59	1729	1152
60	1756	1123
61	1783	1093
62	1811	1063
63	1838	1033
64	1865	1004
65	1892	974
66	1919	945
67	1945	915
68	1974	886
69	2000	857
70	2027	827
71	2057	800
72	2084	771
73	2114	743
74	2146	715
75	2180	688
76	2215	661
77	2245	633
78	2271	603
79	2298	574
80	2325	545
81	2352	516
82	2378	487
83	2405	458
84	2433	429
85	2460	400
86	2487	371
87	2514	342
88	2539	313
89	2565	285
90	2592	256
91	2619	227
92	2645	199
93	2671	170
94	2701	142
95	2728	113
96	2755	85
97	2782	56
98	2809	28
99	2837	0
